#separator:tab
#html:false
帝	임금 제	てい 皇帝（こうてい）ー황제 帝国（ていこく）ー제국 オトナ帝国の逆襲（オトナていこくのぎゃくしゅう）ー어른제국의 역습		임금 제(帝) / 살필 체(諦) / 맺을 체(締)
狂	미칠 광(개(犬)처럼 미친 왕(王))	きょう 狂気（きょうき）ー광기 狂気のように暴れる（きょうきのようにあばれる）ー미친듯이 날뛰다 熱狂（ねっきよう）  ー열광 観衆はこの試合に熱狂した（かんしゅうはこのしあいにねっきょうした）ー관중들은 이 경기에 열광하였다  狂人(きょうじん) ー광인	狂い（くるい）ー미치다, 지나치게 열중하다 機械に狂いが来る（きかいにくるいがくる）ー기계에 이상이 생기다 狂おしい（くるおしい）ー미칠것 같다	임금 왕(王) / 드릴 정(呈) / 정도(과정) 정(程) / 희롱할 롱(弄) / 황제 황(皇) / 성스러울 성(聖) / 왕성할 왕(旺) / 미칠 광(狂)
旺	왕성할 왕(태양(日)같은 왕(王)은 성욕이 왕성)	おう 旺盛（おうせい）ー왕성 食欲旺盛（しょくよくおうせい）ー식욕왕성 性欲が旺盛だ（せいよくがおうせいだ）ー성욕이 왕성하다		임금 왕(王) / 드릴 정(呈) / 정도(과정) 정(程) / 희롱할 롱(弄) / 황제 황(皇) / 성스러울 성(聖) / 왕성할 왕(旺) / 미칠 광(狂)
弄	희롱할 롱(왕(王)을 받드는(廾)척하머 희롱)	ろう 嘲弄（ちょうろう）ー조롱  戯弄（ぎろう）ー희롱  愚弄（ぐろう）ー우롱 国民を愚弄する政策（こくみんをぐろうするせいさく）ー국민을 우롱하는 정책	弄る（まさぐる）ー만지작거리다, 뒤적거리다 弄る（いじる）ー주무르다, 만지다 髪の毛を弄る癖がある（かみのけをいじるくせがある）ー머리를 만지는 버릇이 있다 弄ぶ（もてあそぶ）ー만지작거리다, 농락하다	임금 왕(王) / 드릴 정(呈) / 정도(과정) 정(程) / 희롱할 롱(弄) / 황제 황(皇) / 성스러울 성(聖) / 왕성할 왕(旺) / 미칠 광(狂)
喉	목구멍 후(제후(侯)의 목(口)구멍) (제후 후(侯) : 상투(그)를 화살(矢)로 맞추는 사람(亻))	こう 喉頭（こうとう）ー후두 喉頭炎を治療する（こうとうえんをちりょうする）ー후두염을 치료하다    咽喉（いんこう）ー인후, 목구멍 耳鼻咽喉科（じびいんこうか）ー이비인후과	のど喉（のど）ー목 魚の骨が喉に刺さった（さかなのほねがのどにささった）ー생선 가시가 목에 걸렷다	제후 후(侯) / 기후 후(候) / 목구멍 후(喉)
臨	임할 림(신하(臣)가 화살(𠂉)같은 눈으로 물건(品)을 임시로 걸러냄)	りん 臨時（りんじ）ー임시 臨時保護（りんじほご）ー임시 보호 君臨（くんりん）ー군림 王座に君臨する（おうざにくんりんする）ー왕좌에 군림하다 臨床（りんしょう）ー임상 臨床試験（りんしょうしけん）ー임상실험	臨む（のぞむ）ー임하다, 면하다, 당면하다 (노조로 임하다) 成心をもって人に臨む（せいしんをもってひとにのぞむ）ー선입관을 가지고 사람을 대하다	물건 품(品) / 임할 림(臨) / 암 암(癌)
湧	물 솟을 용(물(氵)이 용감히(勇) 솟음) (용감할 용(勇) : 창의 머리날(龴)들고있는 남자(男))	ゆう 湧出（ゆうしゅつ）ー용출 温泉が湧出する（おんせんがゆうしゅつする）ー온천이 용출하다		사내 남(男) / 용감할 용(勇) / 물 솟을 용(湧)
侮	업신여길 모(매일(每)보는 사람(亻)을 업신여김)	ぶ 侮辱（ぶじょく）ー모욕 公衆の面前で侮辱される（こうしゅうのめんぜんでぶじょくされる）ー대중 앞에서 모욕을 당하다 侮辱感（ぶじょくかん）ー모욕감 侮辱罪（ぶじょくざい）ー모욕죄 侮蔑（ぶべつ）ー모멸 侮蔑感（ぶべつかん）ー모멸감	侮る（あなどる）ー깔보다, 얕보다, 업신여기다 侮るような態度を取る（あなどるようなたいどをとる）ー깔보는듯한 태도를 취하다	어미 모(母) / 매양 매(毎) / 업신여길 모(侮) / 뉘우칠 회(悔) / 바다 해(海) / 매화 매(梅)
敏	민첩할 민(매일(每) 맞으니(攵) 피하려고 민첩해짐)	びん 敏感（びんかん）ー민감 敏感肌用の低刺激化粧品 （びんかんはだようのていしげきけしょうひん）ー민감성 피부용 저자극 화장품 過敏（かびん）ー과민 神経過敏（しんけいかびん）ー신경과민 過敏症（かびんしょう）ー과민증 機敏（きびん）ー기민 鋭敏（えいびん）ー예민 鋭敏な神経（えいびんなしんけい）ー예민한 신경 敏捷（びんしょう）ー민첩		민첩할 민(敏) / 번성할 번(繁)
繁	번성할 번(민첩(敏)하게 실(糸)을 뽑으면 가게가 번성)	はん 繁栄（はんえい）ー번영 国民の福祉と繫栄（こくみんとふくしとはんえい）ー국민의 복지와 번영  繁盛(はんじょう) ー번성, 번창 店が繁盛する（みせがはんじょうする）ー가게가 번창하다  頻繁(ひんぱん) ー빈번 鉄道事故が頻繫に起こる（てつどうじこがひんぱんにおこる）ー철도 사고가 빈번하게 일어나다 繁殖（はんしょく）ー번식  系統繫殖（けいとうはんしょく）ー계통 번식 繫華（はんか）ー번화 繫華街（はんかがい）ー번화가		민첩할 민(敏) / 번성할 번(繁)
凄	쓸쓸할 처(남편이 없는아내(妻)는 얼음(冫)장처럼 쓸쓸함) (아내 처(妻) : 비녀(一)를 손(⺕)으로 잡아 머리에 꽂은(l) 여자(女)는 내아내)	せい 凄惨（せいさん）ー처참 凄惨な情景（せいさんなじょうけい）ー처참한 정경 凄絶（せいぜつ）ー처절 凄絶な戦い（せいぜつなかかたい）ー처절한 싸움		아내 처(妻) / 쓸쓸할 처(凄)
